time/s,freq/Hz,|Z|/Ohm,Phase(Z)/deg,I/A,Ewe/V,loop_index
126.23869597606244,7000018.5,50.752583,-20.75998,-1.8129722e-07,3.0623946,0
127.92069400261971,5553741.0,55.57743,-19.09903,1.2298935e-06,3.062411,0
129.60268677587737,4406287.0,59.84439,-17.494406,1.0417219e-06,3.0623963,0
131.28469256238895,3495908.2,62.7554,-16.196306,9.958442e-07,3.062391,0
131.85469402946183,2773623.0,65.84877,-15.022871,1.0083407e-06,3.0623841,0
132.28568068993627,2200573.5,68.261314,-13.717103,1.0092738e-06,3.0623837,0
132.71669327045674,1745917.5,70.531975,-12.688665,1.0642884e-06,3.0623858,0
133.1476961975859,1385197.1,72.49954,-11.747922,1.0478775e-06,3.0623875,0
133.57869805805967,1099001.6,74.35646,-11.045208,1.0413506e-06,3.06239,0
134.00868365177303,871938.1,76.088844,-10.45698,1.0510483e-06,3.0623868,0
134.43967719227658,691786.7,77.82998,-10.023446,1.0131898e-06,3.0623815,0
134.87070003940607,548860.6,79.5532,-9.711428,9.785016e-07,3.0623865,0
135.30169941988424,435458.72,81.28513,-9.432649,1.0089008e-06,3.0623896,0
135.73269994699513,345494.38,83.07616,-9.260022,9.86335e-07,3.0623782,0
136.16368855416658,274105.56,84.93146,-9.119113,9.57055e-07,3.0623813,0
136.59469860131503,217478.84,86.81231,-8.938678,9.453046e-07,3.0623827,0
136.88670072183595,172543.05,88.75237,-8.826052,9.163986e-07,3.0623846,0
138.15269131530658,136895.03,90.684044,-8.85986,9.514592e-07,3.06238,0
139.8346980085189,108614.164,92.61273,-8.817298,9.4157485e-07,3.0623872,0
140.68269311546464,86169.46,94.68935,-8.635939,9.0576833e-07,3.0623875,0
141.25270383586758,68364.016,96.54129,-8.675596,8.6958863e-07,3.0623915,0
141.68368313633255,54242.133,98.50861,-8.65339,8.759294e-07,3.0623841,0
142.1146932101401,43033.695,100.70995,-8.649163,8.910354e-07,3.0623808,0
142.40669626402087,34144.895,102.6255,-8.764334,8.673507e-07,3.0623896,0
142.69869379789452,27093.232,104.90581,-8.936825,8.7909973e-07,3.0623927,0
143.12969885833445,21489.018,106.93575,-9.140542,8.59145e-07,3.0623853,0
143.42168553886586,17053.887,109.34558,-9.497705,8.656722e-07,3.0623944,0
143.71369912612136,13528.057,111.89597,-9.8564625,8.6791005e-07,3.0623915,0
144.14468127992586,10735.229,114.43291,-10.323093,8.408686e-07,3.0623798,0
144.60950591528672,8517.451,117.305176,-10.832995,7.8939644e-07,3.0623755,0
144.98499907985388,6753.7354,120.52559,-11.568869,7.216994e-07,3.0623782,0
145.43657174127293,5359.6797,124.05429,-12.242059,7.440785e-07,3.0623713,0
145.90401283017127,4253.6406,128.09587,-12.795311,7.017444e-07,3.062369,0
146.37102946569212,3373.921,132.63017,-13.457991,7.3680496e-07,3.0623767,0
146.8377849011158,2677.5674,137.50896,-14.177895,7.61795e-07,3.0623846,0
147.30402900333866,2124.317,142.96448,-14.764345,7.142391e-07,3.0623846,0
147.7708848121838,1685.5374,148.46347,-15.384863,7.588109e-07,3.0623796,0
148.23761720766197,1337.1407,154.99113,-15.945015,7.146119e-07,3.0623784,0
148.70475037649157,1061.0223,161.49971,-16.361904,7.2598783e-07,3.0623686,0
149.1716591186414,841.34937,169.0455,-16.815174,7.231904e-07,3.062379,0
149.64066948762047,667.64954,176.50789,-17.180382,6.551203e-07,3.0623698,0
150.10800817651034,529.83014,184.87657,-17.601858,7.3661784e-07,3.0623784,0
150.57475630528643,420.40347,193.27817,-18.093903,6.571718e-07,3.0623727,0
151.04389840764634,333.39932,202.44603,-18.644005,7.256147e-07,3.0623863,0
151.51129053646582,264.5768,212.6799,-18.95347,7.0267606e-07,3.0623758,0
151.97703799862938,209.93277,223.70691,-19.606663,6.657504e-07,3.0623798,0
152.4401135406224,166.5458,236.38567,-20.014528,6.48593e-07,3.0623674,0
153.1506825343531,132.1569,249.73952,-20.306622,1.5409541e-06,3.0623684,0
153.6182775432244,104.8319,265.02893,-20.519594,1.5622812e-06,3.0623658,0
154.0933568724722,83.16338,281.78992,-20.61152,1.5411593e-06,3.0623686,0
154.5539330010215,65.992546,299.70938,-20.361017,1.5320988e-06,3.0623689,0
155.00193443564058,52.362606,318.52478,-19.806448,1.5303278e-06,3.0623727,0
155.45458776378655,41.52827,338.07736,-18.973923,1.5444401e-06,3.0623746,0
155.94730570717365,32.964127,356.87302,-17.907341,1.5423893e-06,3.0623655,0
156.39716911522555,26.146248,375.717,-16.619474,1.5124868e-06,3.062359,0
156.85069879007642,20.750315,392.41595,-15.135279,1.5361629e-06,3.0623617,0
157.28121187721263,16.45893,408.19897,-13.683294,1.5456519e-06,3.0623732,0
157.81061656898237,13.064369,421.31253,-12.256878,1.6086636e-06,3.06238,0
158.26299312386254,10.361374,432.55502,-10.786218,1.5419047e-06,3.0623798,0
158.8191706436046,8.223653,442.4393,-9.669307,1.5848758e-06,3.0623827,0
159.18928780785063,6.5212846,451.7352,-8.39083,1.5235045e-06,3.0623856,0
159.64524348283885,5.1738396,458.53473,-7.471642,1.5404319e-06,3.062376,0
160.20469198937644,4.103206,464.90805,-6.531894,1.5695609e-06,3.0623736,0
160.89394834215636,3.257923,470.43332,-5.7703333,1.5276618e-06,3.0623822,0
161.7491245160927,2.5834963,475.13974,-5.1251926,1.5527487e-06,3.0623806,0
162.8140204600204,2.049446,479.17715,-4.5658274,1.5774607e-06,3.0623786,0
164.812249594921,1.6259104,483.19183,-4.069688,1.6633417e-06,3.0623782,0
166.4803678074677,1.2902544,487.12012,-3.6893578,1.6349369e-06,3.062376,0
168.5722967334732,1.0236502,490.0452,-3.3547597,1.6380558e-06,3.0623746,0
171.19511851141579,0.8126199,492.71683,-3.073616,1.6163393e-06,3.062375,0
174.4938329614597,0.64438283,496.06595,-2.8518434,1.6220474e-06,3.062377,0
178.6422946517996,0.51122236,498.38184,-2.6557796,1.6348544e-06,3.0623837,0
183.85616401946754,0.4058443,501.3049,-2.5090737,1.621085e-06,3.0623734,0
190.4222204646503,0.32181963,503.97296,-2.3361475,1.6428013e-06,3.0623806,0
198.68844792395248,0.25531054,506.83142,-2.2172253,1.5898296e-06,3.0623627,0
209.096671938285,0.2025798,509.01373,-2.1952486,1.6202641e-06,3.0623784,0
222.20904709446768,0.16068146,511.31442,-2.1552908,1.6207822e-06,3.0623822,0
238.72378393213148,0.12750551,513.47644,-2.0623915,1.6216853e-06,3.0623868,0
259.516177506448,0.10123998,515.72595,-2.0341675,1.6189763e-06,3.0623996,0
285.7210316311248,0.08030087,518.1446,-1.9933496,1.5860404e-06,3.0623991,0
318.7528269600607,0.063687116,520.3661,-2.0000405,1.5649823e-06,3.0623918,0
360.38732821753365,0.050522164,522.5966,-1.9737909,1.557801e-06,3.062394,0
412.87065444371547,0.040071532,525.0665,-1.9918891,1.5592684e-06,3.0623991,0
478.9768191836274,0.03180936,527.4703,-1.974276,1.5013524e-06,3.0623808,0
562.2431383385265,0.02525203,530.06757,-2.1072671,1.4964029e-06,3.0623956,0
667.279798927455,0.020016208,532.1564,-2.160762,1.4610218e-06,3.0623949,0
799.6896461232973,0.01587741,534.18756,-2.321037,1.4462314e-06,3.062399,0
966.4442267370468,0.01260668,536.4813,-2.3882778,1.3736623e-06,3.0623934,0
